iso3,country_name,year,gdp_usd,gdp_per_capita_usd
ALB,Albania,1992,652174990.837304,200.852219772323
ALB,Albania,1993,1185315468.46295,367.279225077581
ALB,Albania,1994,1880950864.41311,586.416135130865
ALB,Albania,1995,2905092798.61916,911.320465445326
ALB,Albania,1996,3234486232.04392,1020.97618050188
ALB,Albania,1997,2293666029.99318,728.545523729675
ALB,Albania,1998,2600356999.20614,831.175344077295
ALB,Albania,1999,3283941510.49964,1056.34481153033
ALB,Albania,2000,3584570164.85195,1160.42047054038
ALB,Albania,2001,4059064033.13379,1326.41652388077
ALB,Albania,2002,4515003116.68036,1479.83884572006
ALB,Albania,2003,5801712040.48463,1908.69900687608
ALB,Albania,2004,7406645793.44038,2446.90949947798
ALB,Albania,2005,8256658249.8128,2741.72136549578
ALB,Albania,2006,9150528132.17633,3057.77257038113
ALB,Albania,2007,11116937869.8568,3743.05529896187
ALB,Albania,2008,13258506375.4518,4498.50486763601
ALB,Albania,2009,12335540656.1006,4213.65007574693
ALB,Albania,2010,12086545641.299,4149.14469936847
ALB,Albania,2011,12973755874.5365,4465.70914328865
ALB,Albania,2012,12246499747.9714,4280.93316338873
ALB,Albania,2013,12796985886.1478,4542.92903556739
ALB,Albania,2014,13296322588.1684,4793.59751131525
ALB,Albania,2015,11470171826.9575,4199.53912925398
ALB,Albania,2016,11988668784.6628,4457.63412207495
ALB,Albania,2017,13258268435.6048,5006.36012951959
ALB,Albania,2018,15379508329.7568,5897.65452588774
ALB,Albania,2019,15585111614.0376,6069.43903131027
ALB,Albania,2020,15241458744.5927,6027.91350716348
ALB,Albania,2021,18031989573.0294,7242.45513146613
ALB,Albania,2022,19017247013.8821,7756.96188744253
ALB,Albania,2023,23491242727.4082,9730.86921906893
ALB,Albania,2024,27046429296.6673,11377.7757431099
AND,Andorra,1992,1209992020.29543,20099.5352208543
AND,Andorra,1993,1007090269.86956,15916.8395162087
AND,Andorra,1994,1017544068.8408,15748.5307503373
AND,Andorra,1995,1178745282.8678,18443.2545197741
AND,Andorra,1996,1224024139.21295,19130.1597151312
AND,Andorra,1997,1180645571.8643,18247.9995651361
AND,Andorra,1998,1211953994.05714,18536.5084282698
AND,Andorra,1999,1240295198.78331,18875.2883698571
AND,Andorra,2000,1432606296.26722,21810.2503808666
AND,Andorra,2001,1548265926.7572,23511.2969500881
AND,Andorra,2002,1764279817.95815,26528.1300628236
AND,Andorra,2003,2366941614.03001,34063.575598394
AND,Andorra,2004,2900244053.52758,39021.1107100919
AND,Andorra,2005,3161084846.97686,40829.8116399538
AND,Andorra,2006,3459336818.03742,43467.1963063068
AND,Andorra,2007,3957627536.75624,48336.2548304926
AND,Andorra,2008,4102317468.30156,49132.4925840057
AND,Andorra,2009,3688974807.45037,43975.0000888133
AND,Andorra,2010,3449925693.58181,42746.830391567
AND,Andorra,2011,3629133062.55168,46657.1495384811
AND,Andorra,2012,3188653258.61001,41500.5499988288
AND,Andorra,2013,3193513470.43941,42470.3230369366
AND,Andorra,2014,3271686452.47686,44369.6712976777
AND,Andorra,2015,2789882569.1005,38654.95287916
AND,Andorra,2016,2896611878.6258,40129.8385811474
AND,Andorra,2017,3000160414.63795,40672.9717424447
AND,Andorra,2018,3218418631.67579,42819.7577456133
AND,Andorra,2019,3155150255.91195,41257.816459345
AND,Andorra,2020,2891002460.29153,37361.1070081615
AND,Andorra,2021,3324648075.56293,42425.7066454357
AND,Andorra,2022,3380611694.73392,42414.0479861228
AND,Andorra,2023,3785065524.84754,46812.4261013102
AND,Andorra,2024,4039842405.48117,49303.6491674336
ARG,Argentina,1992,228778917308.17,6789.99611136495
ARG,Argentina,1993,236741715015.015,6931.85596375876
ARG,Argentina,1994,257440000000.0,7437.56242327594
ARG,Argentina,1995,258031750000.0,7357.6162773788
ARG,Argentina,1996,272149750000.0,7663.21271287469
ARG,Argentina,1997,292859000000.0,8146.78710021431
ARG,Argentina,1998,298948250000.0,8218.99212764682
ARG,Argentina,1999,283523000000.0,7705.54288252851
ARG,Argentina,2000,284203750000.0,7637.01489203628
ARG,Argentina,2001,268696750000.0,7141.47507662826
ARG,Argentina,2002,97724004251.8602,2569.69963519124
ARG,Argentina,2003,127586973492.177,3320.47775133903
ARG,Argentina,2004,164657930452.787,4242.02099089422
ARG,Argentina,2005,198737095012.282,5067.65342293276
ARG,Argentina,2006,232557260817.308,5869.38028970204
ARG,Argentina,2007,287530508430.568,7185.25155147027
ARG,Argentina,2008,361558037110.419,8944.1102657357
ARG,Argentina,2009,332976484577.619,8150.23527028221
ARG,Argentina,2010,423627422092.49,10260.1313108254
ARG,Argentina,2011,530158122010.442,12704.2831819684
ARG,Argentina,2012,545982375701.128,12949.717486654
ARG,Argentina,2013,552025140252.246,12963.675773326
ARG,Argentina,2014,526319673731.638,12233.1444119186
ARG,Argentina,2015,594749285413.212,13679.6264980954
ARG,Argentina,2016,557532320662.955,12699.9623137756
ARG,Argentina,2017,643628393281.364,14532.5009308511
ARG,Argentina,2018,524819892360.176,11752.7998922979
ARG,Argentina,2019,447754683615.225,9955.97478680428
ARG,Argentina,2020,385740508436.965,8535.59938004389
ARG,Argentina,2021,486564085480.036,10738.0179223384
ARG,Argentina,2022,633993756301.08,13962.1894087223
ARG,Argentina,2023,649461687959.174,14261.8465667948
ARG,Argentina,2024,638365455340.04,13969.7836603737
ARM,Armenia,1992,1272835453.42634,356.350780006933
ARM,Armenia,1993,1201312829.27524,347.870644720878
ARM,Armenia,1994,1315158636.67553,390.879964297655
ARM,Armenia,1995,1468317435.20148,443.924860857976
ARM,Armenia,1996,1596968946.23708,487.068624404558
ARM,Armenia,1997,1639492444.76152,505.035887057966
ARM,Armenia,1998,1893726437.26462,590.239947333459
ARM,Armenia,1999,1845482173.02732,582.669886150895
ARM,Armenia,2000,1911563668.85006,593.450581742282
ARM,Armenia,2001,2118467913.37873,659.588988535629
ARM,Armenia,2002,2376335048.39976,742.651118319819
ARM,Armenia,2003,2807061008.69084,882.030167695474
ARM,Armenia,2004,3576615240.41616,1130.08791444158
ARM,Armenia,2005,4900469511.10191,1557.48458908655
ARM,Armenia,2006,6384452066.5146,2041.65267068997
ARM,Armenia,2007,9206301269.79164,2962.70234594569
ARM,Armenia,2008,11662040713.8753,3777.66859313767
ARM,Armenia,2009,8647937081.2562,2820.5926553347
ARM,Armenia,2010,9260285755.62424,3041.34450723339
ARM,Armenia,2011,10142111824.5835,3349.55309771906
ARM,Armenia,2012,10619320682.9474,3511.56399687426
ARM,Armenia,2013,11121464437.0415,3680.16692158886
ARM,Armenia,2014,11609513246.7958,3852.11800610384
ARM,Armenia,2015,10553337518.414,3512.39350276709
ARM,Armenia,2016,10546136235.5219,3524.42476874707
ARM,Armenia,2017,11527458709.0158,3869.05373867752
ARM,Armenia,2018,12457940694.7395,4196.00562301769
ARM,Armenia,2019,13619290539.2116,4597.22887399548
ARM,Armenia,2020,12641698583.2152,4268.68093304583
ARM,Armenia,2021,13878908628.9378,4685.17997128509
ARM,Armenia,2022,19513506553.1251,6571.97445545099
ARM,Armenia,2023,24185982215.6543,8159.08720967996
ARM,Armenia,2024,25955275380.0321,8556.21406956719
ASM,American Samoa,1992,,
ASM,American Samoa,1993,,
ASM,American Samoa,1994,,
ASM,American Samoa,1995,,
ASM,American Samoa,1996,,
ASM,American Samoa,1997,,
ASM,American Samoa,1998,,
ASM,American Samoa,1999,,
ASM,American Samoa,2000,,
ASM,American Samoa,2001,,
ASM,American Samoa,2002,512000000.0,8972.69636535698
ASM,American Samoa,2003,524000000.0,9197.66196836987
ASM,American Samoa,2004,509000000.0,8958.42866697173
ASM,American Samoa,2005,500000000.0,8831.26975996609
ASM,American Samoa,2006,493000000.0,8745.16621137404
ASM,American Samoa,2007,518000000.0,9231.37240924563
ASM,American Samoa,2008,560000000.0,10030.8089130902
ASM,American Samoa,2009,675000000.0,12156.0293905777
ASM,American Samoa,2010,573000000.0,10375.1720141957
ASM,American Samoa,2011,570000000.0,10383.459331451
ASM,American Samoa,2012,640000000.0,11745.4899153958
ASM,American Samoa,2013,638000000.0,11813.5022034589
ASM,American Samoa,2014,643000000.0,12026.3344929488
ASM,American Samoa,2015,673000000.0,12727.4102651386
ASM,American Samoa,2016,671000000.0,12843.3342903627
ASM,American Samoa,2017,612000000.0,11863.6839452565
ASM,American Samoa,2018,639000000.0,12552.0546868861
ASM,American Samoa,2019,647000000.0,12886.1359517218
ASM,American Samoa,2020,721000000.0,14489.2586563775
ASM,American Samoa,2021,750000000.0,15236.1604875571
ASM,American Samoa,2022,871000000.0,18017.4589383973
ASM,American Samoa,2023,,
ASM,American Samoa,2024,,
AUS,Australia,1992,325982966981.415,18650.3675476612
AUS,Australia,1993,312568858909.5,17724.5399501656
AUS,Australia,1994,323269456935.317,18155.6282000179
AUS,Australia,1995,368725126225.126,20479.1748274233
AUS,Australia,1996,401962517479.122,22055.838490507
AUS,Australia,1997,436321902767.408,23683.4948964934
AUS,Australia,1998,400361527504.578,21516.0403147759
AUS,Australia,1999,390347787943.351,20749.6443779096
AUS,Australia,2000,416901962163.479,21908.9968019784
AUS,Australia,2001,380360222861.197,19733.6510102645
AUS,Australia,2002,396436967262.563,20335.0960191023
AUS,Australia,2003,468517181129.878,23757.5898471684
AUS,Australia,2004,615643050220.515,30886.0500949401
AUS,Australia,2005,696811489612.816,34535.20727091
AUS,Australia,2006,749708370332.989,36658.8243476122
AUS,Australia,2007,856603595823.192,41128.2476618402
AUS,Australia,2008,1058448244063.77,49811.2067218988
AUS,Australia,2009,931761689770.843,42954.8494884573
AUS,Australia,2010,1152566632022.13,52313.8939041213
AUS,Australia,2011,1402939868653.4,62799.3895017032
AUS,Australia,2012,1552728401401.58,68301.4402512587
AUS,Australia,2013,1583737461925.39,68476.6788496118
AUS,Australia,2014,1474677007565.64,62817.2061751737
AUS,Australia,2015,1356805839935.9,56970.3613028094
AUS,Australia,2016,1211588128417.61,50084.4440606385
AUS,Australia,2017,1330890554614.09,54117.547718609
AUS,Australia,2018,1433144978761.67,57410.1737346009
AUS,Australia,2019,1398349602956.35,55194.7585097428
AUS,Australia,2020,1333336461648.09,51983.4523666382
AUS,Australia,2021,1560617493202.69,60758.9044397144
AUS,Australia,2022,1695627535475.8,65169.5191118657
AUS,Australia,2023,1734451264655.6,65058.3773146674
AUS,Australia,2024,1757022451652.83,64603.9856308464
AUT,Austria,1992,194314032056.098,24782.7118767063
AUT,Austria,1993,189634029338.696,23987.2037240657
AUT,Austria,1994,202738023129.743,25546.2460525087
AUT,Austria,1995,240094169510.031,30207.0674314652
AUT,Austria,1996,235952581232.129,29645.9451251491
AUT,Austria,1997,211724812267.448,26571.7523626508
AUT,Austria,1998,217068085815.918,27212.4642905708
AUT,Austria,1999,216421809125.916,27078.7081612201
AUT,Austria,2000,196181599831.287,24487.2974685956
AUT,Austria,2001,196477206829.33,24430.495982841
AUT,Austria,2002,212837224022.813,26334.862215032
AUT,Austria,2003,260779834340.097,32110.1159661425
AUT,Austria,2004,299210411454.823,36614.2506533707
AUT,Austria,2005,313952317330.776,38157.37022862
AUT,Austria,2006,333905979332.481,40382.2078298575
AUT,Austria,2007,386760177589.497,46622.9622913635
AUT,Austria,2008,429234399096.173,51581.3982361071
AUT,Austria,2009,399290118782.429,47857.4446635266
AUT,Austria,2010,389827789217.634,46611.1393420232
AUT,Austria,2011,428954737064.057,51116.8953522042
AUT,Austria,2012,406750487603.59,48250.4059142637
AUT,Austria,2013,426580502769.417,50305.3545774973
AUT,Austria,2014,438556021078.034,51314.9722616322
AUT,Austria,2015,379546097300.633,43915.228020857
AUT,Austria,2016,393687359770.273,45061.4993920192
AUT,Austria,2017,414926138132.691,47163.7425775142
AUT,Austria,2018,452582294972.775,51194.0749841299
AUT,Austria,2019,442983642371.842,49885.9947355204
AUT,Austria,2020,434397601557.696,48716.4098900349
AUT,Austria,2021,480466363176.806,53648.6437976214
AUT,Austria,2022,473221298968.216,52336.7725223758
AUT,Austria,2023,516670509628.876,56579.504175468
AUT,Austria,2024,534790720466.822,58268.8787651601
AZE,Azerbaijan,1992,444658671.586716,60.2351205405972
AZE,Azerbaijan,1993,1570392598.14954,209.530954548425
AZE,Azerbaijan,1994,1193141110.35043,157.063549947072
AZE,Azerbaijan,1995,2417331192.9526,314.55801908334
AZE,Azerbaijan,1996,3176507376.31836,409.185543774103
AZE,Azerbaijan,1997,3962362387.47922,505.516204188336
