country,noc_code,team_name,year,n_athletes,gold,silver,bronze,total_medals,snowfall_total,snowfall_mean_gridcell,gdp,gdp_per_capita,population,won_any_medal,log_total_medals,log_gdp,log_population,medals_per_million
AND,AND,Andorra,1992,5,0,0,0,0,,,1209992020.29543,20099.5352208543,60200,0,0.0,9.082782506222987,4.779596491257824,0.0
ARG,ARG,Argentina,1992,20,0,0,0,0,5.570297546040895,2.00080687165184,228778917308.17,6789.99611136495,33693527,0,0.0,11.359416000371887,7.527546474812038,0.0
AUS,AUS,Australia,1992,22,0,0,0,0,0.181064433175711,0.0235057259992922,325982966981.415,18650.3675476612,17478635,0,0.0,11.513194908229783,7.242507513246031,0.0
AUT,AUT,Austria,1992,58,9,10,10,29,0.9372402149531892,11.089665815444029,194314032056.098,24782.7118767063,7840709,1,3.4011973816621555,11.288504163566804,6.894355335754027,3.6986451097725985
BEL,BEL,Belgium,1992,5,0,0,0,0,0.0121796973321662,0.4056894779470824,234781652446.675,23372.619171015,10045158,0,0.0,11.370664154958432,7.001956772143351,0.0
BGR,BUL,Bulgaria,1992,30,0,0,0,0,0.3185613394937654,2.9000891862156006,8602887622.63828,1007.34454544881,8540164,0,0.0,9.934644249857953,6.931466210690311,0.0
BMU,BER,Bermuda,1992,1,0,0,0,0,,,1679900000.0,28761.9634632835,58407,0,0.0,9.225283430094443,4.766464899838297,0.0
BOL,BOL,Bolivia,1992,5,0,0,0,0,0.3558778810015219,0.3263746616523718,5643868748.68126,759.57113496365,7430336,0,0.0,9.751576905439101,6.871008453013139,0.0
BRA,BRA,Brazil,1992,7,0,0,0,0,0.0001358585226794,1.5907681926876155e-05,328187960871.951,2127.29083011489,154275079,0,0.0,11.516122645508123,8.18829577747667,0.0
CAN,CAN,Canada,1992,108,5,28,3,36,88.72074402123408,8.890433230370549,594387358318.855,20950.3305287651,28371264,1,3.6109179126442243,11.774069564092446,7.4528786849673905,1.2688895355525929
CHE,SUI,Switzerland,1992,74,2,0,5,7,0.7582536697370483,16.3483092495584,279921425828.474,40713.6881521435,6875364,1,2.0794415416798357,11.447036141634971,6.837295695812361,1.0181279129366823
CHL,CHI,Chile,1992,5,0,0,0,0,9.91964355157766,12.186752319684867,46538895685.8088,3351.84108855522,13884577,0,0.0,10.667816073767007,7.1425326533074385,0.0
CHN,CHN,China,1992,32,0,3,0,3,31.3725364719935,3.334705811870028,428502354788.069,367.822651903542,1164970000,1,1.3862943611198906,11.631953212883849,9.066314741669151,0.0025751736096208486
CRI,CRC,Costa Rica,1992,4,0,0,0,0,0.0,0.0,8579754757.93237,2612.38756453737,3284258,0,0.0,9.933474874235783,6.516437266466637,0.0
CYP,CYP,Cyprus,1992,4,0,0,0,0,0.0028060928820159,0.4323982420273281,6912150456.32334,11310.072265625,810341,0,0.0,9.839613182833082,5.908667813019532,0.0
CZE,TCH,Czechoslovakia,1992,74,0,0,27,27,0.2840634787818428,3.502139449641909,35051065440.3962,3396.70972430469,10319123,1,3.332204510175204,10.544701223667936,7.013642789108528,2.616501421680893
DEU,GER,Germany,1992,111,14,17,7,38,0.608877057852838,1.7103071067302067,2141377582968.07,26559.8543879632,80624598,1,3.6635616461296463,12.33069325194712,7.90646756222544,0.4713201794817011
DNK,DEN,Denmark,1992,6,0,0,0,0,0.0221314936119027,0.5230892224877342,152966494259.538,29579.4913648682,5171370,0,0.0,11.184596313485956,6.713605611686148,0.0
DZA,ALG,Algeria,1992,4,0,0,0,0,0.0840183694819071,0.0361924391057142,48003133346.9957,1802.69300801289,26628568,0,0.0,10.681269586352608,7.425347812085958,0.0
ESP,ESP,Spain,1992,17,0,0,1,1,0.4900305247142231,0.9753156276449924,630465353486.104,16100.6799428032,39157685,1,0.6931471805599453,11.799661225400403,7.592817008426188,0.02553777119357286
EST,EST,Estonia,1992,19,0,0,0,0,0.2796340832189987,6.298476502736933,,,1533091,0,0.0,,6.185567934126983,0.0
FIN,FIN,Finland,1992,62,6,1,6,13,3.204243062586067,9.44217999947025,112537828510.751,22320.1124695857,5041992,1,2.6390573296152584,11.051298530909525,6.702602152257006,2.5783460187957457
FRA,FRA,France,1992,109,5,6,1,12,0.7491504394866113,1.1637676207644327,1389663073110.28,23615.0168565483,58846584,1,2.5649493574615367,12.142909517357658,7.769721257442685,0.20392007801166506
GBR,GBR,Great Britain,1992,49,0,0,0,0,0.2876280672342582,1.15250865129196,1179659529659.53,20487.1707852878,57580402,0,0.0,12.071756680419526,7.760274692597851,0.0
GRC,GRE,Greece,1992,8,0,0,0,0,0.1502339205718381,1.142061583137939,114608178405.434,11021.012224607,10399061,0,0.0,11.059215609861901,7.016994125747862,0.0
HND,HON,Honduras,1992,1,0,0,0,0,0.0,0.0,4122846905.18198,782.111518709432,5271431,0,0.0,9.615197208323279,6.721928526226226,0.0
HRV,CRO,Croatia,1992,4,0,0,0,0,0.0988761385686905,1.732245213002788,10621169290.9986,2321.15204123035,4575818,0,0.0,10.026172331121579,6.660468742365476,0.0
HUN,HUN,Hungary,1992,24,0,0,0,0,0.0635478220977644,0.6883446991727068,38857339124.9084,3747.32966394956,10369341,0,0.0,10.589473057639596,7.015751156663122,0.0
IND,IND,India,1992,2,0,0,0,0,4.168508735545022,1.3231347732395171,288208070278.013,319.182472626315,902957070,0,0.0,11.459706137574907,8.95566710279932,0.0
IRL,IRL,Ireland-2,1992,4,0,0,0,0,0.0042895750499077,0.0737454629096621,55918538121.3989,15714.3847487231,3558430,0,0.0,10.747555809123382,6.551258426981057,0.0
ISL,ISL,Iceland,1992,5,0,0,0,0,2.933398924780835,27.39671150194157,7328497599.30768,28072.4041083276,261057,0,0.0,9.865014949919713,5.416735342904385,0.0
ITA,ITA,Italy,1992,107,4,9,8,21,0.7707053751874933,2.449035613969196,1323204350353.5,23297.0460325456,56797087,1,3.091042453358316,12.121626920058693,7.754326062255608,0.3697372719132585
JAM,JAM,Jamaica,1992,5,0,0,0,0,0.0,0.0,3535460089.80719,1458.10146892635,2424701,0,0.0,9.548445939055796,6.384658191574908,0.0
JPN,JPN,Japan,1992,60,3,2,7,12,1.9892796437237952,4.92081307136173,3980702922117.66,31992.7902119161,124425000,1,2.5649493574615367,12.59995976761193,8.094907649416061,0.09644364074743822
KOR,KOR,South Korea,1992,23,5,1,1,7,0.1597353306684186,1.6139053270742,366921291824.719,8387.16308258471,43747962,1,2.0794415416798357,11.564572913864664,7.640957826209307,0.16000745360435303
LBN,LIB,Lebanon,1992,4,0,0,0,0,0.0577832838030378,5.57484479864139,5843579160.90122,1559.38100628446,3747371,0,0.0,9.766678931649759,6.573726691566363,0.0
LIE,LIE,Liechtenstein,1992,7,0,0,0,0,,,1631177029.45063,55057.1110625654,29627,0,0.0,9.212501096994533,4.471687677487212,0.0
LTU,LTU,Lithuania,1992,6,0,0,0,0,0.2658353812359405,4.191155851674596,,,3700114,0,0.0,,6.5682151048259785,0.0
LUX,LUX,Luxembourg,1992,1,0,2,0,2,0.0022069047484423,0.8914503223606743,15518702634.8808,39570.8615665986,392175,1,1.0986122886681098,10.190855411376848,5.593479905221356,5.099764135908715
LVA,LAT,Latvia,1992,23,0,0,0,0,0.3542811831192622,5.562266742999609,,,2614338,0,0.0,,6.417361735518953,0.0
MAR,MAR,Morocco,1992,12,0,0,0,0,0.1559190150924475,0.2632312873064149,33711069430.78,1327.02954101563,25212468,0,0.0,10.527772530050473,7.401615360008834,0.0
MCO,MON,Monaco,1992,5,0,0,0,0,,,2737049230.70442,88614.926367223,30887,0,0.0,9.437282609040004,4.489775728090475,0.0
MEX,MEX,Mexico,1992,20,0,0,0,0,0.1998937257202368,0.1013204642634421,363157832923.734,4220.56643677057,86044809,0,0.0,11.560095415863152,7.934724674888358,0.0
MNG,MGL,Mongolia,1992,4,0,0,0,0,3.5439108625702223,2.3037403308325515,1317611863.84977,607.813424662797,2167790,0,0.0,9.11978749659073,6.336017208558901,0.0
NLD,NED,Netherlands,1992,19,1,1,2,4,0.0034773756468269,0.0875994017377764,363497050125.313,23939.2173482108,15184166,1,1.6094379124341003,11.56050089079479,7.181390943008001,0.2634323149522997
NOR,NOR,Norway,1992,79,9,10,5,24,7.115421373495822,18.020316951362556,130838040067.584,30523.9850558974,4286401,1,3.2188758248682006,11.116734029841446,6.63209279758329,5.599102837088737
NZL,NZL,New Zealand,1992,6,0,1,0,1,1.262389148811771,4.544495285019965,41649829859.6342,11793.1392416214,3531700,1,0.6931471805599453,10.619613231645017,6.547983805359076,0.283149757906957
PHL,PHI,Philippines,1992,1,0,0,0,0,0.0,0.0,60422328242.1803,916.515694532029,65926125,0,0.0,10.781197455847062,7.8190575495708705,0.0
POL,POL,Poland,1992,53,0,0,0,0,0.7677509593392662,2.4770055460621703,94337050693.2727,2459.02068468253,38363667,0,0.0,10.974682294554807,7.583920112621415,0.0
PRI,PUR,Puerto Rico-2,1992,6,0,0,0,0,0.0,0.0,34630430000.0,9659.33889995916,3585176,0,0.0,10.539457884141658,6.554510480492697,0.0
PRK,PRK,North Korea,1992,20,0,0,1,1,0.6808557886801186,5.417126595461715,,,21750911,1,0.6931471805599453,,7.337477451359047,0.04597508582514084
ROU,ROU,Romania,1992,23,0,0,0,0,0.6745311142082117,2.835574727741464,25121666666.6667,1102.10378473246,22794284,0,0.0,10.400048448764418,7.357825954961638,0.0
RUS,EUN,Unified Team,1992,129,35,10,14,59,132.57422481851967,7.83294314647958,460290556900.726,3098.802734375,148538197,1,4.0943445622221,11.663032065209041,8.171838148018361,0.3972042288893543
SEN,SEN,Senegal,1992,2,0,0,0,0,0.0,0.0,7769817839.95644,951.204960087807,8168395,0,0.0,9.890410837072588,6.912136730813984,0.0
SMR,SMR,San Marino,1992,3,0,0,0,0,,,,,24125,0,0.0,,4.38246732201583,0.0
SRB,YUG,Yugoslavia,1992,25,0,0,0,0,0.2026886114936982,2.657860162901172,,,7604063,0,0.0,,6.8810457063574,0.0
SVN,SLO,Slovenia,1992,27,0,0,0,0,0.0632813916647789,3.310559226563352,14277261540.7456,7151.15243829224,1996498,0,0.0,10.154644915297801,6.3002688794743085,0.0
SWE,SWE,Sweden,1992,73,1,0,6,7,4.3398588930749415,9.67385373227477,283908914454.48,32753.4287003642,8668067,1,2.0794415416798357,11.453179029150052,6.937922259548776,0.8075618243375369
SWZ,SWZ,Swaziland,1992,1,0,0,0,0,5.7271778554131535e-08,3.0991126974730293e-06,1284759927.54594,1361.8169795148,943416,0,0.0,9.108821982233266,5.974703237452174,0.0
TUR,TUR,Turkey,1992,8,0,0,0,0,5.940705584837476,7.442287857356037,159104772991.851,2743.65320297936,57990118,0,0.0,11.201683208263367,7.763353992464317,0.0
TWN,TPE,Chinese Taipei,1992,8,0,0,0,0,0.0024322072131421,0.0702380251757168,,,,0,0.0,,,
USA,USA,United States,1992,148,5,7,2,14,47.02431014322482,4.9487171989929495,6520327000000.0,25418.9907763319,256514000,1,2.70805020110221,12.814269376519412,8.409111072983208,0.05457791777446845
VIR,ISV,United States Virgin Islands,1992,12,0,0,0,0,,,,,105712,0,0.0,,5.024124289464242,0.0
AND,AND,Andorra,1994,6,0,0,0,0,,,1017544068.8408,15748.5307503373,64612,0,0.0,9.007553227174835,4.8103131844006475,0.0
ARG,ARG,Argentina,1994,10,0,0,0,0,4.476522012008381,1.6079313409555755,257440000000.0,7437.56242327594,34613491,0,0.0,11.410676026754954,7.5392454029802956,0.0
ARM,ARM,Armenia,1994,2,0,0,0,0,0.2885343037848882,10.187778598667546,1315158636.67553,390.879964297655,3364610,0,0.0,9.118978141325796,6.52693473136419,0.0
ASM,ASA,American Samoa,1994,2,0,0,0,0,,,,,51251,0,0.0,,4.709702343683791,0.0
AUS,AUS,Australia,1994,25,0,0,4,4,0.207435264743769,0.0269291788019236,323269456935.317,18155.6282000179,17805468,1,1.6094379124341003,11.509564673646299,7.250553393182774,0.22465009063507907
AUT,AUT,Austria,1994,80,2,3,7,12,0.762777431809576,9.025377566362032,202738023129.743,25546.2460525087,7936118,1,2.5649493574615367,11.306935207434115,6.899608116601752,1.5120742912340768
BEL,BEL,Belgium,1994,5,0,0,0,0,0.0187235280367236,0.6236557532907899,244884129491.198,24208.5547931447,10115603,0,0.0,11.388960640176828,7.004991776554871,0.0
