iso3,country_name,year,population_total
ALB,Albania,1992,3247039
ALB,Albania,1993,3227287
ALB,Albania,1994,3207536
ALB,Albania,1995,3187784
ALB,Albania,1996,3168033
ALB,Albania,1997,3148281
ALB,Albania,1998,3128530
ALB,Albania,1999,3108778
ALB,Albania,2000,3089027
ALB,Albania,2001,3060173
ALB,Albania,2002,3051010
ALB,Albania,2003,3039616
ALB,Albania,2004,3026939
ALB,Albania,2005,3011487
ALB,Albania,2006,2992547
ALB,Albania,2007,2970017
ALB,Albania,2008,2947314
ALB,Albania,2009,2927519
ALB,Albania,2010,2913021
ALB,Albania,2011,2905195
ALB,Albania,2012,2860708
ALB,Albania,2013,2816902
ALB,Albania,2014,2773767
ALB,Albania,2015,2731293
ALB,Albania,2016,2689469
ALB,Albania,2017,2648285
ALB,Albania,2018,2607733
ALB,Albania,2019,2567801
ALB,Albania,2020,2528480
ALB,Albania,2021,2489762
ALB,Albania,2022,2451636
ALB,Albania,2023,2414095
ALB,Albania,2024,2377128
AND,Andorra,1992,60200
AND,Andorra,1993,63272
AND,Andorra,1994,64612
AND,Andorra,1995,63912
AND,Andorra,1996,63984
AND,Andorra,1997,64700
AND,Andorra,1998,65382
AND,Andorra,1999,65710
AND,Andorra,2000,65685
AND,Andorra,2001,65852
AND,Andorra,2002,66506
AND,Andorra,2003,69486
AND,Andorra,2004,74325
AND,Andorra,2005,77421
AND,Andorra,2006,79585
AND,Andorra,2007,81877
AND,Andorra,2008,83495
AND,Andorra,2009,83888
AND,Andorra,2010,80706
AND,Andorra,2011,77783
AND,Andorra,2012,76834
AND,Andorra,2013,75194
AND,Andorra,2014,73737
AND,Andorra,2015,72174
AND,Andorra,2016,72181
AND,Andorra,2017,73763
AND,Andorra,2018,75162
AND,Andorra,2019,76474
AND,Andorra,2020,77380
AND,Andorra,2021,78364
AND,Andorra,2022,79705
AND,Andorra,2023,80856
AND,Andorra,2024,81938
ARG,Argentina,1992,33693527
ARG,Argentina,1993,34152717
ARG,Argentina,1994,34613491
ARG,Argentina,1995,35070020
ARG,Argentina,1996,35513793
ARG,Argentina,1997,35947791
ARG,Argentina,1998,36372860
ARG,Argentina,1999,36794682
ARG,Argentina,2000,37213984
ARG,Argentina,2001,37624825
ARG,Argentina,2002,38029349
ARG,Argentina,2003,38424282
ARG,Argentina,2004,38815916
ARG,Argentina,2005,39216789
ARG,Argentina,2006,39622115
ARG,Argentina,2007,40016763
ARG,Argentina,2008,40424148
ARG,Argentina,2009,40854831
ARG,Argentina,2010,41288694
ARG,Argentina,2011,41730660
ARG,Argentina,2012,42161721
ARG,Argentina,2013,42582455
ARG,Argentina,2014,43024071
ARG,Argentina,2015,43477012
ARG,Argentina,2016,43900313
ARG,Argentina,2017,44288894
ARG,Argentina,2018,44654882
ARG,Argentina,2019,44973465
ARG,Argentina,2020,45191965
ARG,Argentina,2021,45312281
ARG,Argentina,2022,45407904
ARG,Argentina,2023,45538401
ARG,Argentina,2024,45696159
ARM,Armenia,1992,3571861
ARM,Armenia,1993,3453332
ARM,Armenia,1994,3364610
ARM,Armenia,1995,3307581
ARM,Armenia,1996,3278735
ARM,Armenia,1997,3246289
ARM,Armenia,1998,3208401
ARM,Armenia,1999,3167286
ARM,Armenia,2000,3221100
ARM,Armenia,2001,3211800
ARM,Armenia,2002,3199800
ARM,Armenia,2003,3182500
ARM,Armenia,2004,3164900
ARM,Armenia,2005,3146400
ARM,Armenia,2006,3127100
ARM,Armenia,2007,3107400
ARM,Armenia,2008,3087100
ARM,Armenia,2009,3066000
ARM,Armenia,2010,3044800
ARM,Armenia,2011,3027900
ARM,Armenia,2012,3024100
ARM,Armenia,2013,3022000
ARM,Armenia,2014,3013800
ARM,Armenia,2015,3004600
ARM,Armenia,2016,2992300
ARM,Armenia,2017,2979400
ARM,Armenia,2018,2969000
ARM,Armenia,2019,2962500
ARM,Armenia,2020,2961500
ARM,Armenia,2021,2962300
