noc_code,year,gold,silver,bronze,total_medals
AHO,1992,0,0,0,0
ALG,1992,0,0,0,0
AND,1992,0,0,0,0
ARG,1992,0,0,0,0
AUS,1992,0,0,0,0
AUT,1992,9,10,10,29
BEL,1992,0,0,0,0
BER,1992,0,0,0,0
BOL,1992,0,0,0,0
BRA,1992,0,0,0,0
BUL,1992,0,0,0,0
CAN,1992,5,28,3,36
CHI,1992,0,0,0,0
CHN,1992,0,3,0,3
CRC,1992,0,0,0,0
CRO,1992,0,0,0,0
CYP,1992,0,0,0,0
DEN,1992,0,0,0,0
ESP,1992,0,0,1,1
EST,1992,0,0,0,0
EUN,1992,35,10,14,59
FIN,1992,6,1,6,13
FRA,1992,5,6,1,12
GBR,1992,0,0,0,0
GER,1992,14,17,7,38
GRE,1992,0,0,0,0
HON,1992,0,0,0,0
HUN,1992,0,0,0,0
IND,1992,0,0,0,0
IRL,1992,0,0,0,0
ISL,1992,0,0,0,0
ISV,1992,0,0,0,0
ITA,1992,4,9,8,21
JAM,1992,0,0,0,0
JPN,1992,3,2,7,12
KOR,1992,5,1,1,7
LAT,1992,0,0,0,0
LIB,1992,0,0,0,0
LIE,1992,0,0,0,0
LTU,1992,0,0,0,0
LUX,1992,0,2,0,2
MAR,1992,0,0,0,0
MEX,1992,0,0,0,0
MGL,1992,0,0,0,0
MON,1992,0,0,0,0
NED,1992,1,1,2,4
NOR,1992,9,10,5,24
NZL,1992,0,1,0,1
PHI,1992,0,0,0,0
POL,1992,0,0,0,0
PRK,1992,0,0,1,1
PUR,1992,0,0,0,0
ROU,1992,0,0,0,0
SEN,1992,0,0,0,0
SLO,1992,0,0,0,0
SMR,1992,0,0,0,0
SUI,1992,2,0,5,7
SWE,1992,1,0,6,7
SWZ,1992,0,0,0,0
TCH,1992,0,0,27,27
TPE,1992,0,0,0,0
TUR,1992,0,0,0,0
USA,1992,5,7,2,14
YUG,1992,0,0,0,0
AND,1994,0,0,0,0
ARG,1994,0,0,0,0
ARM,1994,0,0,0,0
ASA,1994,0,0,0,0
AUS,1994,0,0,4,4
AUT,1994,2,3,7,12
BEL,1994,0,0,0,0
BER,1994,0,0,0,0
BIH,1994,0,0,0,0
BLR,1994,0,2,0,2
BRA,1994,0,0,0,0
BUL,1994,0,0,0,0
CAN,1994,3,29,5,37
CHI,1994,0,0,0,0
CHN,1994,0,1,2,3
CRO,1994,0,0,0,0
CYP,1994,0,0,0,0
CZE,1994,0,0,0,0
DEN,1994,0,0,0,0
ESP,1994,0,0,0,0
EST,1994,0,0,0,0
FIJ,1994,0,0,0,0
FIN,1994,0,1,29,30
FRA,1994,0,1,10,11
GBR,1994,0,0,3,3
GEO,1994,0,0,0,0
GER,1994,18,10,12,40
GRE,1994,0,0,0,0
HUN,1994,0,0,0,0
ISL,1994,0,0,0,0
ISR,1994,0,0,0,0
ISV,1994,0,0,0,0
ITA,1994,14,6,12,32
JAM,1994,0,0,0,0
JPN,1994,3,5,2,10
KAZ,1994,1,2,0,3
KGZ,1994,0,0,0,0
KOR,1994,7,1,1,9
LAT,1994,0,0,0,0
LIE,1994,0,0,0,0
LTU,1994,0,0,0,0
LUX,1994,0,0,0,0
MDA,1994,0,0,0,0
MEX,1994,0,0,0,0
MGL,1994,0,0,0,0
MON,1994,0,0,0,0
NED,1994,0,1,3,4
NOR,1994,8,17,5,30
NZL,1994,0,0,0,0
POL,1994,0,0,0,0
POR,1994,0,0,0,0
PUR,1994,0,0,0,0
ROU,1994,0,0,0,0
RSA,1994,0,0,0,0
RUS,1994,19,13,4,36
SEN,1994,0,0,0,0
SLO,1994,0,0,3,3
SMR,1994,0,0,0,0
SUI,1994,4,8,4,16
SVK,1994,0,0,0,0
SWE,1994,23,1,0,24
TPE,1994,0,0,0,0
TTO,1994,0,0,0,0
TUR,1994,0,0,0,0
UKR,1994,1,0,1,2
USA,1994,6,8,5,19
UZB,1994,1,0,0,1
AND,1998,0,0,0,0
ARG,1998,0,0,0,0
ARM,1998,0,0,0,0
AUS,1998,0,0,1,1
AUT,1998,3,5,12,20
AZE,1998,0,0,0,0
BEL,1998,0,0,1,1
BER,1998,0,0,0,0
BIH,1998,0,0,0,0
BLR,1998,0,0,2,2
BRA,1998,0,0,0,0
BUL,1998,1,0,0,1
CAN,1998,14,28,7,49
CHI,1998,0,0,0,0
CHN,1998,0,9,5,14
CRO,1998,0,0,0,0
CYP,1998,0,0,0,0
CZE,1998,21,1,1,23
DEN,1998,0,5,0,5
ESP,1998,0,0,0,0
EST,1998,0,0,0,0
FIN,1998,2,7,49,58
FRA,1998,2,1,12,15
GBR,1998,0,0,4,4
GEO,1998,0,0,0,0
GER,1998,22,12,10,44
GRE,1998,0,0,0,0
HUN,1998,0,0,0,0
IND,1998,0,0,0,0
IRI,1998,0,0,0,0
IRL,1998,0,0,0,0
ISL,1998,0,0,0,0
ISR,1998,0,0,0,0
ISV,1998,0,0,0,0
