noc_code,year,country_name,gold,silver,bronze,total_medals
ALB,2018,ALB,0,0,0,0
AND,2018,AND,0,0,0,0
ARG,2018,ARG,0,0,0,0
ARM,2018,ARM,0,0,0,0
AUS,2018,Australia,0,2,1,3
AUT,2018,Austria,5,3,6,14
AZE,2018,AZE,0,0,0,0
BEL,2018,Belgium,0,1,0,1
BER,2018,BER,0,0,0,0
BIH,2018,BIH,0,0,0,0
BLR,2018,Belarus,2,1,0,3
BOL,2018,BOL,0,0,0,0
BRA,2018,BRA,0,0,0,0
BUL,2018,BUL,0,0,0,0
CAN,2018,Canada,11,8,10,29
CHI,2018,CHI,0,0,0,0
CHN,2018,China,1,6,2,9
COL,2018,COL,0,0,0,0
CRO,2018,CRO,0,0,0,0
CYP,2018,CYP,0,0,0,0
CZE,2018,Czech Republic,2,2,3,7
DEN,2018,DEN,0,0,0,0
ECU,2018,ECU,0,0,0,0
ERI,2018,ERI,0,0,0,0
ESP,2018,Spain,0,0,2,2
EST,2018,EST,0,0,0,0
FIN,2018,Finland,1,1,4,6
FRA,2018,France,5,4,6,15
GBR,2018,Great Britain,1,0,4,5
GEO,2018,GEO,0,0,0,0
GER,2018,Germany,14,10,7,31
GHA,2018,GHA,0,0,0,0
GRE,2018,GRE,0,0,0,0
HKG,2018,HKG,0,0,0,0
HUN,2018,Hungary,1,0,0,1
IND,2018,IND,0,0,0,0
IRI,2018,IRI,0,0,0,0
IRL,2018,IRL,0,0,0,0
ISL,2018,ISL,0,0,0,0
ISR,2018,ISR,0,0,0,0
ITA,2018,Italy,3,2,5,10
JAM,2018,JAM,0,0,0,0
JPN,2018,Japan,4,5,4,13
KAZ,2018,Kazakhstan,0,0,1,1
KEN,2018,KEN,0,0,0,0
KGZ,2018,KGZ,0,0,0,0
KOR,2018,South Korea,5,8,4,17
KOS,2018,KOS,0,0,0,0
LAT,2018,Latvia,0,0,1,1
LIB,2018,LIB,0,0,0,0
LIE,2018,Liechtenstein,0,0,1,1
LTU,2018,LTU,0,0,0,0
LUX,2018,LUX,0,0,0,0
MAD,2018,MAD,0,0,0,0
MAR,2018,MAR,0,0,0,0
MAS,2018,MAS,0,0,0,0
MDA,2018,MDA,0,0,0,0
MEX,2018,MEX,0,0,0,0
MGL,2018,MGL,0,0,0,0
MKD,2018,MKD,0,0,0,0
MLT,2018,MLT,0,0,0,0
MNE,2018,MNE,0,0,0,0
MON,2018,MON,0,0,0,0
NED,2018,Netherlands,8,6,6,20
NGR,2018,NGR,0,0,0,0
NOR,2018,Norway,14,14,11,39
NZL,2018,New Zealand,0,0,2,2
OAR,2018,Olympic Athletes from Russia,2,6,9,17
PAK,2018,PAK,0,0,0,0
PHI,2018,PHI,0,0,0,0
POL,2018,Poland,1,0,1,2
POR,2018,POR,0,0,0,0
PRK,2018,PRK,0,0,0,0
PUR,2018,PUR,0,0,0,0
ROU,2018,ROU,0,0,0,0
RSA,2018,RSA,0,0,0,0
SGP,2018,SGP,0,0,0,0
SLO,2018,Slovenia,0,1,1,2
SMR,2018,SMR,0,0,0,0
SRB,2018,SRB,0,0,0,0
SUI,2018,Switzerland,5,6,4,15
SVK,2018,Slovakia,1,2,0,3
SWE,2018,Sweden,7,6,1,14
TGA,2018,TGA,0,0,0,0
THA,2018,THA,0,0,0,0
TLS,2018,TLS,0,0,0,0
TOG,2018,TOG,0,0,0,0
TPE,2018,TPE,0,0,0,0
TUR,2018,TUR,0,0,0,0
UKR,2018,Ukraine,1,0,0,1
USA,2018,United States,9,8,6,23
UZB,2018,UZB,0,0,0,0
ALB,2022,ALB,0,0,0,0
AND,2022,AND,0,0,0,0
ARG,2022,ARG,0,0,0,0
ARM,2022,ARM,0,0,0,0
ASA,2022,ASA,0,0,0,0
AUS,2022,Australia,1,2,1,4
AUT,2022,Austria,7,7,4,18
AZE,2022,AZE,0,0,0,0
BEL,2022,Belgium,1,0,1,2
BIH,2022,BIH,0,0,0,0
BLR,2022,Belarus,0,2,0,2
BOL,2022,BOL,0,0,0,0
BRA,2022,BRA,0,0,0,0
BUL,2022,BUL,0,0,0,0
CAN,2022,Canada,4,8,14,26
CHI,2022,CHI,0,0,0,0
CHN,2022,China,9,4,2,15
COL,2022,COL,0,0,0,0
CRO,2022,CRO,0,0,0,0
CYP,2022,CYP,0,0,0,0
CZE,2022,Czech Republic,1,0,1,2
DEN,2022,DEN,0,0,0,0
ECU,2022,ECU,0,0,0,0
ERI,2022,ERI,0,0,0,0
ESP,2022,Spain,0,1,0,1
EST,2022,Estonia,0,0,1,1
FIN,2022,Finland,2,2,4,8
FRA,2022,France,5,7,2,14
GBR,2022,Great Britain,1,1,0,2
GEO,2022,GEO,0,0,0,0
GER,2022,Germany,12,10,5,27
GHA,2022,GHA,0,0,0,0
GRE,2022,GRE,0,0,0,0
HAI,2022,HAI,0,0,0,0
HKG,2022,HKG,0,0,0,0
HUN,2022,Hungary,1,0,2,3
IND,2022,IND,0,0,0,0
IRI,2022,IRI,0,0,0,0
IRL,2022,IRL,0,0,0,0
ISL,2022,ISL,0,0,0,0
ISR,2022,ISR,0,0,0,0
ISV,2022,ISV,0,0,0,0
ITA,2022,Italy,2,7,8,17
JAM,2022,JAM,0,0,0,0
JPN,2022,Japan,3,7,8,18
KAZ,2022,KAZ,0,0,0,0
KGZ,2022,KGZ,0,0,0,0
KOR,2022,South Korea,2,5,2,9
KOS,2022,KOS,0,0,0,0
KSA,2022,KSA,0,0,0,0
LAT,2022,Latvia,0,0,1,1
LIB,2022,LIB,0,0,0,0
LIE,2022,LIE,0,0,0,0
LTU,2022,LTU,0,0,0,0
LUX,2022,LUX,0,0,0,0
MAD,2022,MAD,0,0,0,0
MAR,2022,MAR,0,0,0,0
MAS,2022,MAS,0,0,0,0
MDA,2022,MDA,0,0,0,0
MEX,2022,MEX,0,0,0,0
MGL,2022,MGL,0,0,0,0
MKD,2022,MKD,0,0,0,0
MLT,2022,MLT,0,0,0,0
MNE,2022,MNE,0,0,0,0
MON,2022,MON,0,0,0,0
NED,2022,Netherlands,8,5,4,17
NGR,2022,NGR,0,0,0,0
NOR,2022,Norway,16,8,13,37
NZL,2022,New Zealand,2,1,0,3
PAK,2022,PAK,0,0,0,0
PER,2022,PER,0,0,0,0
PHI,2022,PHI,0,0,0,0
POL,2022,Poland,0,0,1,1
POR,2022,POR,0,0,0,0
PUR,2022,PUR,0,0,0,0
ROC,2022,ROC,5,12,15,32
ROU,2022,ROU,0,0,0,0
SLO,2022,Slovenia,2,3,2,7
SMR,2022,SMR,0,0,0,0
SRB,2022,SRB,0,0,0,0
SUI,2022,Switzerland,7,2,6,15
SVK,2022,Slovakia,1,0,1,2
SWE,2022,Sweden,8,5,5,18
THA,2022,THA,0,0,0,0
TLS,2022,TLS,0,0,0,0
TPE,2022,TPE,0,0,0,0
TTO,2022,TTO,0,0,0,0
TUR,2022,TUR,0,0,0,0
UKR,2022,Ukraine,0,1,0,1
USA,2022,United States,9,9,7,25
UZB,2022,UZB,0,0,0,0
